Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Node X-form	Node Y-form	Node Z-form	Node A1-form	Node B1-form	Node C1-form	Node D1-form	Node E1-form	Node F1-form	Node G1-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
very <advmod different	very	different																																4	18.9	AB	"pattern {B [form=""different""]; A [form=""very""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22different%22%5D%3B%20A%20%5Bform%3D%22very%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	different	5.22	9.22	0.03	8.72	1.95	4.78
very <advmod large	very	large																																4	18.9	AB	"pattern {B [form=""large""]; A [form=""very""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22large%22%5D%3B%20A%20%5Bform%3D%22very%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	large	5.95	9.95	0.03	8.97	1.97	6.47
(a <det lot) <obl:unmarked more	a	lot	more																															3	14.2	ABC	"pattern {C [form=""more""]; B [form=""lot""]; A [form=""a""]; C -[obl:unmarked]-> B; B -[det]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22more%22%5D%3B%20B%20%5Bform%3D%22lot%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	more	10.22	13.39	0.00	5.17	1.73	12.46
Anglo <compound American	Anglo	American																																3	14.2	AB	"pattern {B [form=""American""]; A [form=""Anglo""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22American%22%5D%3B%20A%20%5Bform%3D%22Anglo%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	American	10.85	14.02	0.07	10.09	1.73	13.60
Heaven <compound Sent	Heaven	Sent																																3	14.2	AB	"pattern {B [form=""Sent""]; A [form=""Heaven""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22Sent%22%5D%3B%20A%20%5Bform%3D%22Heaven%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	Sent	15.69	18.86	0.86	13.78	1.73	22.34
How <advmod many	How	many																																3	14.2	AB	"pattern {B [form=""many""]; A [form=""How""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22many%22%5D%3B%20A%20%5Bform%3D%22How%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	many	5.25	8.42	0.02	8.46	1.69	3.64
adult <compound like	adult	like																																3	14.2	AB	"pattern {B [form=""like""]; A [form=""adult""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22like%22%5D%3B%20A%20%5Bform%3D%22adult%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	like	6.02	9.19	0.01	7.10	1.71	4.96
as <advmod many	as	many																																3	14.2	AB	"pattern {B [form=""many""]; A [form=""as""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22many%22%5D%3B%20A%20%5Bform%3D%22as%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	many	1.73	4.90	0.01	6.37	1.21	-1.07
in >flat situ	in	situ																																3	14.2	AB	"pattern {A [form=""in""]; B [form=""situ""]; A -[flat]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22in%22%5D%3B%20B%20%5Bform%3D%22situ%22%5D%3B%20A%20-%5Bflat%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	in	5.31	8.48	0.00	4.93	1.69	3.74
medium <amod high	medium	high																																3	14.2	AB	"pattern {B [form=""high""]; A [form=""medium""]; B -[amod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22high%22%5D%3B%20A%20%5Bform%3D%22medium%22%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	high	9.45	12.62	0.07	10.21	1.73	11.07
most <advmod famous	most	famous																																3	14.2	AB	"pattern {B [form=""famous""]; A [form=""most""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22famous%22%5D%3B%20A%20%5Bform%3D%22most%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	famous	7.81	10.98	0.03	8.99	1.72	8.13
peer <compound reviewed	peer	reviewed																																3	14.2	AB	"pattern {B [form=""reviewed""]; A [form=""peer""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22reviewed%22%5D%3B%20A%20%5Bform%3D%22peer%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	reviewed	14.96	18.13	0.67	13.42	1.73	21.01
pretty <advmod good	pretty	good																																3	14.2	AB	"pattern {B [form=""good""]; A [form=""pretty""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22good%22%5D%3B%20A%20%5Bform%3D%22pretty%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	good	6.27	9.44	0.03	8.77	1.71	5.40
really <advmod cool	really	cool																																3	14.2	AB	"pattern {B [form=""cool""]; A [form=""really""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22cool%22%5D%3B%20A%20%5Bform%3D%22really%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	cool	6.95	10.12	0.03	8.78	1.72	6.60
so <advmod called	so	called																																3	14.2	AB	"pattern {B [form=""called""]; A [form=""so""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22called%22%5D%3B%20A%20%5Bform%3D%22so%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	called	3.74	6.91	0.01	7.43	1.60	1.20
upside <compound down	upside	down																																3	14.2	AB	"pattern {B [form=""down""]; A [form=""upside""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22down%22%5D%3B%20A%20%5Bform%3D%22upside%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	down	10.11	13.28	0.04	9.38	1.73	12.26
very <advmod difficult	very	difficult																																3	14.2	AB	"pattern {B [form=""difficult""]; A [form=""very""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22difficult%22%5D%3B%20A%20%5Bform%3D%22very%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	difficult	6.80	9.97	0.03	8.80	1.72	6.34
very <advmod important	very	important																																3	14.2	AB	"pattern {B [form=""important""]; A [form=""very""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22important%22%5D%3B%20A%20%5Bform%3D%22very%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	important	5.35	8.52	0.02	8.50	1.69	3.81
(135th <advmod most) <advmod popular	135th	most	popular																															2	9.4	ABC	"pattern {C [form=""popular""]; B [form=""most""]; A [form=""135th""]; C -[advmod]-> B; B -[advmod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22popular%22%5D%3B%20B%20%5Bform%3D%22most%22%5D%3B%20A%20%5Bform%3D%22135th%22%5D%3B%20C%20-%5Badvmod%5D-%3E%20B%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	popular	23.27	25.27	0.03	8.91	1.41	24.03
(a <det little) <obl:unmarked more	a	little	more																															2	9.4	ABC	"pattern {C [form=""more""]; B [form=""little""]; A [form=""a""]; C -[obl:unmarked]-> B; B -[det]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22more%22%5D%3B%20B%20%5Bform%3D%22little%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	more	9.00	11.00	0.00	4.57	1.41	6.85
(most <advmod commonly) <advmod used	most	commonly	used																															2	9.4	ABC	"pattern {C [form=""used""]; B [form=""commonly""]; A [form=""most""]; C -[advmod]-> B; B -[advmod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22used%22%5D%3B%20B%20%5Bform%3D%22commonly%22%5D%3B%20A%20%5Bform%3D%22most%22%5D%3B%20C%20-%5Badvmod%5D-%3E%20B%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	used	19.33	21.33	0.02	8.39	1.41	19.28
African <compound American	African	American																																2	9.4	AB	"pattern {B [form=""American""]; A [form=""African""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22American%22%5D%3B%20A%20%5Bform%3D%22African%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	American	7.62	9.62	0.04	9.21	1.41	5.20
Eegimaa <compound speaking	Eegimaa	speaking																																2	9.4	AB	"pattern {B [form=""speaking""]; A [form=""Eegimaa""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22speaking%22%5D%3B%20A%20%5Bform%3D%22Eegimaa%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	speaking	10.85	12.85	0.12	10.96	1.41	9.06
Euro <compound Atlantic	Euro	Atlantic																																2	9.4	AB	"pattern {B [form=""Atlantic""]; A [form=""Euro""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22Atlantic%22%5D%3B%20A%20%5Bform%3D%22Euro%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	Atlantic	16.11	18.11	0.80	13.68	1.41	15.40
North <compound American	North	American																																2	9.4	AB	"pattern {B [form=""American""]; A [form=""North""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22American%22%5D%3B%20A%20%5Bform%3D%22North%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	American	6.78	8.78	0.03	8.97	1.40	4.19
Theravada <compound Buddhist	Theravada	Buddhist																																2	9.4	AB	"pattern {B [form=""Buddhist""]; A [form=""Theravada""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22Buddhist%22%5D%3B%20A%20%5Bform%3D%22Theravada%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	Buddhist	14.89	16.89	0.44	12.83	1.41	13.92
age <compound related	age	related																																2	9.4	AB	"pattern {B [form=""related""]; A [form=""age""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22related%22%5D%3B%20A%20%5Bform%3D%22age%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	related	8.11	10.11	0.05	9.64	1.41	5.78
all <compound encompassing	all	encompassing																																2	9.4	AB	"pattern {B [form=""encompassing""]; A [form=""all""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22encompassing%22%5D%3B%20A%20%5Bform%3D%22all%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	encompassing	8.68	10.68	0.01	6.99	1.41	6.47
best <advmod known	best	known																																2	9.4	AB	"pattern {B [form=""known""]; A [form=""best""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22known%22%5D%3B%20A%20%5Bform%3D%22best%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	known	6.02	8.02	0.02	8.66	1.39	3.31
best >conj (and <cc only)	best	and	only																															2	9.4	ABC	"pattern {A [form=""best""]; C [form=""only""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22best%22%5D%3B%20C%20%5Bform%3D%22only%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	best	10.02	12.02	0.00	4.23	1.41	8.07
broad <amod brimmed	broad	brimmed																																2	9.4	AB	"pattern {B [form=""brimmed""]; A [form=""broad""]; B -[amod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22brimmed%22%5D%3B%20A%20%5Bform%3D%22broad%22%5D%3B%20B%20-%5Bamod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	brimmed	14.89	16.89	0.44	12.83	1.41	13.92
central >conj (and <cc local)	central	and	local																															2	9.4	ABC	"pattern {A [form=""central""]; C [form=""local""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22central%22%5D%3B%20C%20%5Bform%3D%22local%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	central	14.42	16.42	0.00	4.30	1.41	13.37
design <compound based	design	based																																2	9.4	AB	"pattern {B [form=""based""]; A [form=""design""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22based%22%5D%3B%20A%20%5Bform%3D%22design%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	based	8.72	10.72	0.05	9.64	1.41	6.51
east <compound west	east	west																																2	9.4	AB	"pattern {B [form=""west""]; A [form=""east""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22west%22%5D%3B%20A%20%5Bform%3D%22east%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	west	9.29	11.29	0.08	10.30	1.41	7.20
fan <compound based	fan	based																																2	9.4	AB	"pattern {B [form=""based""]; A [form=""fan""]; B -[compound]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22based%22%5D%3B%20A%20%5Bform%3D%22fan%22%5D%3B%20B%20-%5Bcompound%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	based	8.93	10.93	0.05	9.68	1.41	6.76
