Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Node X-form	Node Y-form	Node Z-form	Node A1-form	Node B1-form	Node C1-form	Node D1-form	Node E1-form	Node F1-form	Node G1-form	Node H1-form	Node I1-form	Node J1-form	Node K1-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
nenavadno <advmod zanimiva	nenavadno	zanimiva																																				2	7.5	AB	"pattern {B [form=""zanimiva""]; A [form=""nenavadno""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22zanimiva%22%5D%3B%20A%20%5Bform%3D%22nenavadno%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	zanimiva	12.69	14.69	0.22	11.83	1.41	11.28
povsem <advmod drugačne	povsem	drugačne																																				2	7.5	AB	"pattern {B [form=""drugačne""]; A [form=""povsem""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22druga%C4%8Dne%22%5D%3B%20A%20%5Bform%3D%22povsem%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	drugačne	9.21	11.21	0.04	9.46	1.41	7.10
povsem <advmod normalnega	povsem	normalnega																																				2	7.5	AB	"pattern {B [form=""normalnega""]; A [form=""povsem""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22normalnega%22%5D%3B%20A%20%5Bform%3D%22povsem%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	normalnega	11.67	13.67	0.05	9.61	1.41	10.05
precej <advmod drugačen	precej	drugačen																																				2	7.5	AB	"pattern {B [form=""drugačen""]; A [form=""precej""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22druga%C4%8Den%22%5D%3B%20A%20%5Bform%3D%22precej%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	drugačen	9.50	11.50	0.05	9.71	1.41	7.45
pridobljeni >conj (in <cc izgubljeni)	pridobljeni	in	izgubljeni																																			2	7.5	ABC	"pattern {A [form=""pridobljeni""]; C [form=""izgubljeni""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22pridobljeni%22%5D%3B%20C%20%5Bform%3D%22izgubljeni%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	pridobljeni	20.94	22.94	0.00	4.05	1.41	21.21
prve >conj (in <cc druge)	prve	in	druge																																			2	7.5	ABC	"pattern {A [form=""prve""]; C [form=""druge""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22prve%22%5D%3B%20C%20%5Bform%3D%22druge%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	prve	12.48	14.48	0.00	4.02	1.41	11.03
staro >nmod (3 <nummod tedne)	staro	3	tedne																																			2	7.5	ABC	"pattern {A [form=""staro""]; C [form=""tedne""]; B [form=""3""]; A -[nmod]-> C; C -[nummod]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22staro%22%5D%3B%20C%20%5Bform%3D%22tedne%22%5D%3B%20B%20%5Bform%3D%223%22%5D%3B%20A%20-%5Bnmod%5D-%3E%20C%3B%20C%20-%5Bnummod%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	staro	26.05	28.05	0.08	10.42	1.41	27.37
strojne >conj (in <cc programske)	strojne	in	programske																																			2	7.5	ABC	"pattern {A [form=""strojne""]; C [form=""programske""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22strojne%22%5D%3B%20C%20%5Bform%3D%22programske%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	strojne	19.77	21.77	0.00	4.05	1.41	19.80
tako <advmod hitrega	tako	hitrega																																				2	7.5	AB	"pattern {B [form=""hitrega""]; A [form=""tako""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22hitrega%22%5D%3B%20A%20%5Bform%3D%22tako%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	hitrega	7.35	9.35	0.01	6.63	1.41	4.87
tropskih >conj (in <cc subtropskih)	tropskih	in	subtropskih																																			2	7.5	ABC	"pattern {A [form=""tropskih""]; C [form=""subtropskih""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22tropskih%22%5D%3B%20C%20%5Bform%3D%22subtropskih%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	tropskih	21.52	23.52	0.00	4.05	1.41	21.92
večkrat <advmod nenasičenih	večkrat	nenasičenih																																				2	7.5	AB	"pattern {B [form=""nenasičenih""]; A [form=""večkrat""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22nenasi%C4%8Denih%22%5D%3B%20A%20%5Bform%3D%22ve%C4%8Dkrat%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	nenasičenih	12.78	14.78	0.10	10.68	1.41	11.39
vnaprej <advmod prevedenih	vnaprej	prevedenih																																				2	7.5	AB	"pattern {B [form=""prevedenih""]; A [form=""vnaprej""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22prevedenih%22%5D%3B%20A%20%5Bform%3D%22vnaprej%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	prevedenih	14.33	16.33	0.27	12.09	1.41	13.25
zelo <advmod hitrega	zelo	hitrega																																				2	7.5	AB	"pattern {B [form=""hitrega""]; A [form=""zelo""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22hitrega%22%5D%3B%20A%20%5Bform%3D%22zelo%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	hitrega	8.76	10.76	0.02	8.03	1.41	6.56
čim <advmod večji	čim	večji																																				2	7.5	AB	"pattern {B [form=""večji""]; A [form=""čim""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22ve%C4%8Dji%22%5D%3B%20A%20%5Bform%3D%22%C4%8Dim%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	večji	9.14	11.14	0.06	9.98	1.41	7.01
črno >conj bele	črno	bele																																				2	7.5	AB	"pattern {A [form=""črno""]; B [form=""bele""]; A -[conj]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22%C4%8Drno%22%5D%3B%20B%20%5Bform%3D%22bele%22%5D%3B%20A%20-%5Bconj%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	črno	12.05	14.05	0.17	11.48	1.41	10.51
že <advmod naštetih	že	naštetih																																				2	7.5	AB	"pattern {B [form=""naštetih""]; A [form=""že""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BB%20%5Bform%3D%22na%C5%A1tetih%22%5D%3B%20A%20%5Bform%3D%22%C5%BEe%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	naštetih	7.89	9.89	0.01	6.85	1.41	5.51
ženski >conj (in <cc moški)	ženski	in	moški																																			2	7.5	ABC	"pattern {A [form=""ženski""]; C [form=""moški""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22%C5%BEenski%22%5D%3B%20C%20%5Bform%3D%22mo%C5%A1ki%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	ženski	16.48	18.48	0.00	4.05	1.41	15.84
živalskih >conj (in <cc rastlinskih)	živalskih	in	rastlinskih																																			2	7.5	ABC	"pattern {A [form=""živalskih""]; C [form=""rastlinskih""]; B [form=""in""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22%C5%BEivalskih%22%5D%3B%20C%20%5Bform%3D%22rastlinskih%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	živalskih	19.94	21.94	0.00	4.05	1.41	20.01
& >flat # >flat @ >flat %	&	#	@	%																																		1	3.7	ABCD	"pattern {A [form=""&""]; B [form=""#""]; C [form=""@""]; D [form=""%""]; A -[flat]-> B; A -[flat]-> C; A -[flat]-> D; A << B; A << C; A << D} without {A -> X0} without {B -> X1} without {C -> X2} without {D -> X3}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22%26%22%5D%3B%20B%20%5Bform%3D%22%23%22%5D%3B%20C%20%5Bform%3D%22%40%22%5D%3B%20D%20%5Bform%3D%22%25%22%5D%3B%20A%20-%5Bflat%5D-%3E%20B%3B%20A%20-%5Bflat%5D-%3E%20C%3B%20A%20-%5Bflat%5D-%3E%20D%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20C%3B%20A%20%3C%3C%20D%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D%20without%20%7BD%20-%3E%20X3%7D	4	&	39.86	39.86	0.04	9.27	1.00	22.00
& >flat % >flat #	&	%	#																																			1	3.7	ABC	"pattern {A [form=""&""]; B [form=""%""]; C [form=""#""]; A -[flat]-> B; A -[flat]-> C; A << B; A << C} without {A -> X0} without {B -> X1} without {C -> X2}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BA%20%5Bform%3D%22%26%22%5D%3B%20B%20%5Bform%3D%22%25%22%5D%3B%20C%20%5Bform%3D%22%23%22%5D%3B%20A%20-%5Bflat%5D-%3E%20B%3B%20A%20-%5Bflat%5D-%3E%20C%3B%20A%20%3C%3C%20B%3B%20A%20%3C%3C%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D	3	&	22.84	22.84	0.03	8.88	1.00	11.75
(((več >fixed kot) <advmod deset) <nummod milijonov >nmod kron) <nmod vredno	več	kot	deset	milijonov	kron	vredno																																1	3.7	ABCDEF	"pattern {F [form=""vredno""]; D [form=""milijonov""]; C [form=""deset""]; A [form=""več""]; B [form=""kot""]; E [form=""kron""]; F -[nmod]-> D; D -[nummod]-> C; C -[advmod]-> A; A -[fixed]-> B; D -[nmod]-> E; F >> D; D >> C; C >> A; A << B; D << E} without {F -> X0} without {D -> X1} without {C -> X2} without {A -> X3} without {B -> X4} without {E -> X5}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BF%20%5Bform%3D%22vredno%22%5D%3B%20D%20%5Bform%3D%22milijonov%22%5D%3B%20C%20%5Bform%3D%22deset%22%5D%3B%20A%20%5Bform%3D%22ve%C4%8D%22%5D%3B%20B%20%5Bform%3D%22kot%22%5D%3B%20E%20%5Bform%3D%22kron%22%5D%3B%20F%20-%5Bnmod%5D-%3E%20D%3B%20D%20-%5Bnummod%5D-%3E%20C%3B%20C%20-%5Badvmod%5D-%3E%20A%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20D%20-%5Bnmod%5D-%3E%20E%3B%20F%20%3E%3E%20D%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20A%20%3C%3C%20B%3B%20D%20%3C%3C%20E%7D%20without%20%7BF%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BC%20-%3E%20X2%7D%20without%20%7BA%20-%3E%20X3%7D%20without%20%7BB%20-%3E%20X4%7D%20without%20%7BE%20-%3E%20X5%7D	6	vredno	55.50	55.50	0.00	5.90	1.00	31.42
((5 >conj (ali <cc več)) <nummod mm) <nmod velika	5	ali	več	mm	velika																																	1	3.7	ABCDE	"pattern {E [form=""velika""]; D [form=""mm""]; A [form=""5""]; C [form=""več""]; B [form=""ali""]; E -[nmod]-> D; D -[nummod]-> A; A -[conj]-> C; C -[cc]-> B; E >> D; D >> A; A << C; C >> B} without {E -> X0} without {D -> X1} without {A -> X2} without {C -> X3} without {B -> X4}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BE%20%5Bform%3D%22velika%22%5D%3B%20D%20%5Bform%3D%22mm%22%5D%3B%20A%20%5Bform%3D%225%22%5D%3B%20C%20%5Bform%3D%22ve%C4%8D%22%5D%3B%20B%20%5Bform%3D%22ali%22%5D%3B%20E%20-%5Bnmod%5D-%3E%20D%3B%20D%20-%5Bnummod%5D-%3E%20A%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20E%20%3E%3E%20D%3B%20D%20%3E%3E%20A%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BE%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D%20without%20%7BB%20-%3E%20X4%7D	5	velika	39.46	39.46	0.00	5.97	1.00	21.76
((V <case povprečju) <nmod za <case odstotek) <nmod višje	V	povprečju	za	odstotek	višje																																	1	3.7	ABCDE	"pattern {E [form=""višje""]; D [form=""odstotek""]; B [form=""povprečju""]; A [form=""V""]; C [form=""za""]; E -[nmod]-> D; D -[nmod]-> B; B -[case]-> A; D -[case]-> C; E >> D; D >> B; B >> A; D >> C} without {E -> X0} without {D -> X1} without {B -> X2} without {A -> X3} without {C -> X4}"	http://universal.grew.fr/?corpus=UD_Slovenian-SSJ&request=pattern%20%7BE%20%5Bform%3D%22vi%C5%A1je%22%5D%3B%20D%20%5Bform%3D%22odstotek%22%5D%3B%20B%20%5Bform%3D%22povpre%C4%8Dju%22%5D%3B%20A%20%5Bform%3D%22V%22%5D%3B%20C%20%5Bform%3D%22za%22%5D%3B%20E%20-%5Bnmod%5D-%3E%20D%3B%20D%20-%5Bnmod%5D-%3E%20B%3B%20B%20-%5Bcase%5D-%3E%20A%3B%20D%20-%5Bcase%5D-%3E%20C%3B%20E%20%3E%3E%20D%3B%20D%20%3E%3E%20B%3B%20B%20%3E%3E%20A%3B%20D%20%3E%3E%20C%7D%20without%20%7BE%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BA%20-%3E%20X3%7D%20without%20%7BC%20-%3E%20X4%7D	5	višje	40.77	40.77	0.00	4.63	1.00	22.55
