Tree	Node A-form	Node B-form	Node C-form	Node D-form	Node E-form	Node F-form	Node G-form	Node H-form	Node I-form	Node J-form	Node K-form	Node L-form	Node M-form	Node N-form	Node O-form	Node P-form	Node Q-form	Node R-form	Node S-form	Node T-form	Node U-form	Node V-form	Node W-form	Absolute frequency	Relative frequency	Order	Grew-match query	Grew-match URL	Number of nodes	Head node	MI	MI3	Dice	logDice	t-score	simple-LL
very <advmod much	very	much																						10	47.2	AB	"pattern {B [form=""much""]; A [form=""very""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22much%22%5D%3B%20A%20%5Bform%3D%22very%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	much	6.20	12.84	0.06	9.90	3.12	17.58
pretty <advmod much	pretty	much																						9	42.5	AB	"pattern {B [form=""much""]; A [form=""pretty""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22much%22%5D%3B%20A%20%5Bform%3D%22pretty%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	much	8.09	14.43	0.09	10.54	2.99	25.91
sort >fixed of	sort	of																						9	42.5	AB	"pattern {A [form=""sort""]; B [form=""of""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22sort%22%5D%3B%20B%20%5Bform%3D%22of%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	sort	3.29	9.63	0.00	5.80	2.69	1.68
much <advmod more	much	more																						8	37.8	AB	"pattern {B [form=""more""]; A [form=""much""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22more%22%5D%3B%20A%20%5Bform%3D%22much%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	more	5.07	11.07	0.03	9.08	2.74	8.90
out <advmod there	out	there																						8	37.8	AB	"pattern {B [form=""there""]; A [form=""out""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22there%22%5D%3B%20A%20%5Bform%3D%22out%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	there	3.47	9.47	0.02	8.38	2.57	2.15
that >fixed is	that	is																						6	28.3	AB	"pattern {A [form=""that""]; B [form=""is""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22that%22%5D%3B%20B%20%5Bform%3D%22is%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	that	-1.78	3.39	0.00	5.55	-5.93	22.66
less >fixed than	less	than																						5	23.6	AB	"pattern {A [form=""less""]; B [form=""than""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22less%22%5D%3B%20B%20%5Bform%3D%22than%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	less	6.58	11.22	0.04	9.29	2.21	9.91
right <advmod there	right	there																						5	23.6	AB	"pattern {B [form=""there""]; A [form=""right""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22there%22%5D%3B%20A%20%5Bform%3D%22right%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	there	4.07	8.72	0.02	8.13	2.10	2.86
up >fixed to	up	to																						5	23.6	AB	"pattern {A [form=""up""]; B [form=""to""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22up%22%5D%3B%20B%20%5Bform%3D%22to%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	up	-0.54	4.10	0.00	5.10	-1.02	2.93
First >obl (of <case all)	First	of	all																					4	18.9	ABC	"pattern {A [form=""First""]; C [form=""all""]; B [form=""of""]; A -[obl]-> C; C -[case]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22First%22%5D%3B%20C%20%5Bform%3D%22all%22%5D%3B%20B%20%5Bform%3D%22of%22%5D%3B%20A%20-%5Bobl%5D-%3E%20C%3B%20C%20-%5Bcase%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	First	11.26	15.26	0.00	5.08	2.00	19.13
even <advmod more	even	more																						4	18.9	AB	"pattern {B [form=""more""]; A [form=""even""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22more%22%5D%3B%20A%20%5Bform%3D%22even%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	more	4.01	8.01	0.02	8.06	1.88	2.16
right <advmod here	right	here																						4	18.9	AB	"pattern {B [form=""here""]; A [form=""right""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22here%22%5D%3B%20A%20%5Bform%3D%22right%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	here	4.95	8.95	0.02	8.61	1.94	4.18
(a <det bit) <obl:unmarked more	a	bit	more																					3	14.2	ABC	"pattern {C [form=""more""]; B [form=""bit""]; A [form=""a""]; C -[obl:unmarked]-> B; B -[det]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22more%22%5D%3B%20B%20%5Bform%3D%22bit%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	more	10.76	13.93	0.00	5.18	1.73	13.43
At >fixed least	At	least																						3	14.2	AB	"pattern {A [form=""At""]; B [form=""least""]; A -[fixed]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22At%22%5D%3B%20B%20%5Bform%3D%22least%22%5D%3B%20A%20-%5Bfixed%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	At	7.74	10.91	0.06	9.82	1.72	8.01
Here >conj (and <cc there)	Here	and	there																					3	14.2	ABC	"pattern {A [form=""Here""]; C [form=""there""]; B [form=""and""]; A -[conj]-> C; C -[cc]-> B; A << C; C >> B} without {A -> X0} without {C -> X1} without {B -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22Here%22%5D%3B%20C%20%5Bform%3D%22there%22%5D%3B%20B%20%5Bform%3D%22and%22%5D%3B%20A%20-%5Bconj%5D-%3E%20C%3B%20C%20-%5Bcc%5D-%3E%20B%3B%20A%20%3C%3C%20C%3B%20C%20%3E%3E%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D	3	Here	11.52	14.69	0.00	4.77	1.73	14.80
all <advmod around	all	around																						3	14.2	AB	"pattern {B [form=""around""]; A [form=""all""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22around%22%5D%3B%20A%20%5Bform%3D%22all%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	around	3.03	6.20	0.01	7.21	1.52	0.21
almost <advmod always	almost	always																						3	14.2	AB	"pattern {B [form=""always""]; A [form=""almost""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22always%22%5D%3B%20A%20%5Bform%3D%22almost%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	always	7.73	10.90	0.05	9.73	1.72	7.98
far <advmod away	far	away																						3	14.2	AB	"pattern {B [form=""away""]; A [form=""far""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22away%22%5D%3B%20A%20%5Bform%3D%22far%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	away	6.90	10.07	0.04	9.39	1.72	6.52
once <advmod again	once	again																						3	14.2	AB	"pattern {B [form=""again""]; A [form=""once""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22again%22%5D%3B%20A%20%5Bform%3D%22once%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	again	7.23	10.40	0.04	9.47	1.72	7.10
once >advmod more	once	more																						3	14.2	AB	"pattern {A [form=""once""]; B [form=""more""]; A -[advmod]-> B; A << B} without {A -> X0} without {B -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22once%22%5D%3B%20B%20%5Bform%3D%22more%22%5D%3B%20A%20-%5Badvmod%5D-%3E%20B%3B%20A%20%3C%3C%20B%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D	2	once	5.41	8.58	0.02	8.03	1.69	3.91
over <advmod there	over	there																						3	14.2	AB	"pattern {B [form=""there""]; A [form=""over""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22there%22%5D%3B%20A%20%5Bform%3D%22over%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	there	2.53	5.70	0.01	7.15	1.43	-0.39
real <advmod quick	real	quick																						3	14.2	AB	"pattern {B [form=""quick""]; A [form=""real""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22quick%22%5D%3B%20A%20%5Bform%3D%22real%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	quick	10.10	13.27	0.09	10.50	1.73	12.24
so <advmod badly	so	badly																						3	14.2	AB	"pattern {B [form=""badly""]; A [form=""so""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22badly%22%5D%3B%20A%20%5Bform%3D%22so%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	badly	7.08	10.25	0.01	7.68	1.72	6.83
too <advmod long	too	long																						3	14.2	AB	"pattern {B [form=""long""]; A [form=""too""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22long%22%5D%3B%20A%20%5Bform%3D%22too%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	long	5.72	8.89	0.03	8.79	1.70	4.44
too <advmod much	too	much																						3	14.2	AB	"pattern {B [form=""much""]; A [form=""too""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22much%22%5D%3B%20A%20%5Bform%3D%22too%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	much	5.45	8.62	0.02	8.63	1.69	3.97
up <advmod there	up	there																						3	14.2	AB	"pattern {B [form=""there""]; A [form=""up""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22there%22%5D%3B%20A%20%5Bform%3D%22up%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	there	2.04	5.21	0.01	6.96	1.31	-0.85
very <advmod seriously	very	seriously																						3	14.2	AB	"pattern {B [form=""seriously""]; A [form=""very""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22seriously%22%5D%3B%20A%20%5Bform%3D%22very%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	seriously	8.12	11.29	0.03	8.93	1.73	8.69
(3 <nummod years) <obl:unmarked ago	3	years	ago																					2	9.4	ABC	"pattern {C [form=""ago""]; B [form=""years""]; A [form=""3""]; C -[obl:unmarked]-> B; B -[nummod]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22ago%22%5D%3B%20B%20%5Bform%3D%22years%22%5D%3B%20A%20%5Bform%3D%223%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bnummod%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	ago	17.28	19.28	0.02	8.46	1.41	16.81
(a <det little <amod bit) <obl:unmarked more	a	little	bit	more																				2	9.4	ABCD	"pattern {D [form=""more""]; C [form=""bit""]; A [form=""a""]; B [form=""little""]; D -[obl:unmarked]-> C; C -[det]-> A; C -[amod]-> B; D >> C; C >> A; C >> B} without {D -> X0} without {C -> X1} without {A -> X2} without {B -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BD%20%5Bform%3D%22more%22%5D%3B%20C%20%5Bform%3D%22bit%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20B%20%5Bform%3D%22little%22%5D%3B%20D%20-%5Bobl%3Aunmarked%5D-%3E%20C%3B%20C%20-%5Bdet%5D-%3E%20A%3B%20C%20-%5Bamod%5D-%3E%20B%3B%20D%20%3E%3E%20C%3B%20C%20%3E%3E%20A%3B%20C%20%3E%3E%20B%7D%20without%20%7BD%20-%3E%20X0%7D%20without%20%7BC%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D%20without%20%7BB%20-%3E%20X3%7D	4	more	20.70	22.70	0.00	4.96	1.41	20.92
(a <det little) <obl:unmarked less	a	little	less																					2	9.4	ABC	"pattern {C [form=""less""]; B [form=""little""]; A [form=""a""]; C -[obl:unmarked]-> B; B -[det]-> A; C >> B; B >> A} without {C -> X0} without {B -> X1} without {A -> X2}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BC%20%5Bform%3D%22less%22%5D%3B%20B%20%5Bform%3D%22little%22%5D%3B%20A%20%5Bform%3D%22a%22%5D%3B%20C%20-%5Bobl%3Aunmarked%5D-%3E%20B%3B%20B%20-%5Bdet%5D-%3E%20A%3B%20C%20%3E%3E%20B%3B%20B%20%3E%3E%20A%7D%20without%20%7BC%20-%3E%20X0%7D%20without%20%7BB%20-%3E%20X1%7D%20without%20%7BA%20-%3E%20X2%7D	3	less	11.65	13.65	0.00	4.67	1.41	10.03
135th <advmod most	135th	most																						2	9.4	AB	"pattern {B [form=""most""]; A [form=""135th""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22most%22%5D%3B%20A%20%5Bform%3D%22135th%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	most	10.23	12.23	0.02	8.52	1.41	8.32
How <advmod long	How	long																						2	9.4	AB	"pattern {B [form=""long""]; A [form=""How""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22long%22%5D%3B%20A%20%5Bform%3D%22How%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	long	5.27	7.27	0.02	8.27	1.38	2.45
Late >obl (in <case his <nmod:poss life)	Late	in	his	life																				2	9.4	ABCD	"pattern {A [form=""Late""]; D [form=""life""]; B [form=""in""]; C [form=""his""]; A -[obl]-> D; D -[case]-> B; D -[nmod:poss]-> C; A << D; D >> B; D >> C} without {A -> X0} without {D -> X1} without {B -> X2} without {C -> X3}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BA%20%5Bform%3D%22Late%22%5D%3B%20D%20%5Bform%3D%22life%22%5D%3B%20B%20%5Bform%3D%22in%22%5D%3B%20C%20%5Bform%3D%22his%22%5D%3B%20A%20-%5Bobl%5D-%3E%20D%3B%20D%20-%5Bcase%5D-%3E%20B%3B%20D%20-%5Bnmod%3Aposs%5D-%3E%20C%3B%20A%20%3C%3C%20D%3B%20D%20%3E%3E%20B%3B%20D%20%3E%3E%20C%7D%20without%20%7BA%20-%3E%20X0%7D%20without%20%7BD%20-%3E%20X1%7D%20without%20%7BB%20-%3E%20X2%7D%20without%20%7BC%20-%3E%20X3%7D	4	Late	23.95	25.95	0.00	5.08	1.41	24.84
More <advmod recently	More	recently																						2	9.4	AB	"pattern {B [form=""recently""]; A [form=""More""]; B -[advmod]-> A; B >> A} without {B -> X0} without {A -> X1}"	http://universal.grew.fr/?corpus=UD_English-GUM&request=pattern%20%7BB%20%5Bform%3D%22recently%22%5D%3B%20A%20%5Bform%3D%22More%22%5D%3B%20B%20-%5Badvmod%5D-%3E%20A%3B%20B%20%3E%3E%20A%7D%20without%20%7BB%20-%3E%20X0%7D%20without%20%7BA%20-%3E%20X1%7D	2	recently	11.30	13.30	0.14	11.14	1.41	9.61
